X,pre1,pre2,level,post
H^S|Q-H|G,[-[|[^HS]Q][|HG]],- | ^ H S Q | H G ,- | | ^ Q H G H S ? ? ? ? ? ? ,H S ^ Q | H G | - 
~T^~A|~G|~L|H,[|[|[|[^[~T][~A]][~G]][~L]]H],| | | ^ ~ T ~ A ~ G ~ L H ,| | H | ~ ? ? ^ ~ L ? ? ? ~ ~ G ? ? ? ? ? ? T ? A ? ? ? ? ? ? ? ? ? ,T ~ A ~ ^ G ~ | L ~ | H | 
B^P-E,[-[^BP]E],- ^ B P E ,- ^ E B P ? ? ,B P ^ E - 
F^Z|I-~D,[-[|[^FZ]I][~D]],- | ^ F Z I ~ D ,- | ~ ^ I D ? F Z ? ? ? ? ? ,F Z ^ I | D ~ - 
~N^G|~G^~H,[|[^[~N]G][^[~G][~H]]],| ^ ~ N G ^ ~ G ~ H ,| ^ ^ ~ G ~ ~ N ? ? ? G ? H ? ,N ~ G ^ G ~ H ~ ^ | 
F-B|~K^~X|~H,[-F[|[|B[^[~K][~X]]][~H]]],- F | | B ^ ~ K ~ X ~ H ,- F | ? ? | ~ ? ? B ^ H ? ? ? ? ? ~ ~ ? ? ? ? ? ? ? K ? X ? ? ? ? ,F B K ~ X ~ ^ | H ~ | - 
O|Y-~I^B|~J,[-[|OY][|[^[~I]B][~J]]],- | O Y | ^ ~ I B ~ J ,- | | O Y ^ ~ ? ? ? ? ~ B J ? ? ? ? ? I ? ? ? ? ? ? ,O Y | I ~ B ^ J ~ | - 
J|~J-~P-Q,[-[|J[~J]][-[~P]Q]],- | J ~ J - ~ P Q ,- | - J ~ ~ Q ? ? J ? P ? ? ? ,J J ~ | P ~ Q - - 
~T-~W|~Z-L^D,[-[~T][-[|[~W][~Z]][^LD]]],- ~ T - | ~ W ~ Z ^ L D ,- ~ - T ? | ^ ? ? ? ~ ~ L D ? ? ? W ? Z ? ? ? ? ? ,T ~ W ~ Z ~ | L D ^ - - 
S-I^~F-O|~K,[-S[-[^I[~F]][|O[~K]]]],- S - ^ I ~ F | O ~ K ,- S - ? ? ^ | ? ? I ~ O ~ ? ? ? ? F ? ? ? K ? ,S I F ~ ^ O K ~ | - - 
C|~W^~R^K^~B,[|C[^[^[^[~W][~R]]K][~B]]],| C ^ ^ ^ ~ W ~ R K ~ B ,| C ^ ? ? ^ ~ ? ? ^ K B ? ? ? ~ ~ ? ? ? ? ? ? ? W ? R ? ? ? ? ? ? ,C W ~ R ~ ^ K ^ B ~ ^ | 
~K-V^~B^~C,[-[~K][^[^V[~B]][~C]]],- ~ K ^ ^ V ~ B ~ C ,- ~ ^ K ? ^ ~ ? ? ? V ~ C ? ? ? ? ? ? B ? ? ? ? ,K ~ V B ~ ^ C ~ ^ - 
~Z|~O^X,[|[~Z][^[~O]X]],| ~ Z ^ ~ O X ,| ~ ^ Z ? ~ X ? ? ? O ? ? ? ,Z ~ O ~ X ^ | 
B^L|~F-O|~Y,[-[|[^BL][~F]][|O[~Y]]],- | ^ B L ~ F | O ~ Y ,- | | ^ ~ O ~ B L F ? ? ? Y ? ,B L ^ F ~ | O Y ~ | - 
P-~Z-~N^U-~P,[-P[-[~Z][-[^[~N]U][~P]]]],- P - ~ Z - ^ ~ N U ~ P ,- P - ? ? ~ - ? ? Z ? ^ ~ ? ? ? ? ? ~ U P ? ? ? ? ? ? N ? ? ? ? ? ? ,P Z ~ N ~ U ^ P ~ - - - 
D|I-J-~R^~R,[-[|DI][-J[^[~R][~R]]]],- | D I - J ^ ~ R ~ R ,- | - D I J ^ ? ? ? ? ? ? ~ ~ ? ? ? ? ? ? R ? R ? ,D I | J R ~ R ~ ^ - - 
N^K-~C,[-[^NK][~C]],- ^ N K ~ C ,- ^ ~ N K C ? ,N K ^ C ~ - 
R^~Z|~W|~C,[|[|[^R[~Z]][~W]][~C]],| | ^ R ~ Z ~ W ~ C ,| | ~ ^ ~ C ? R ~ W ? ? ? ? ? ? Z ? ? ? ? ? ? ? ,R Z ~ ^ W ~ | C ~ | 
~Y-L-~E|~M,[-[~Y][-L[|[~E][~M]]]],- ~ Y - L | ~ E ~ M ,- ~ - Y ? L | ? ? ? ? ? ~ ~ ? ? ? ? ? E ? M ? ,Y ~ L E ~ M ~ | - - 
L^Q^M^~A^I,[^[^[^[^LQ]M][~A]]I],^ ^ ^ ^ L Q M ~ A I ,^ ^ I ^ ~ ? ? ^ M A ? ? ? L Q ? ? ? ? ? ? ? ,L Q ^ M ^ A ~ ^ I ^ 
Q^~U|~T,[|[^Q[~U]][~T]],| ^ Q ~ U ~ T ,| ^ ~ Q ~ T ? ? ? U ? ? ? ? ,Q U ~ ^ T ~ | 
F^~C-~J|~G,[-[^F[~C]][|[~J][~G]]],- ^ F ~ C | ~ J ~ G ,- ^ | F ~ ~ ~ ? ? C ? J ? G ? ,F C ~ ^ J ~ G ~ | - 
~J^~B|D|O|~O,[|[|[|[^[~J][~B]]D]O][~O]],| | | ^ ~ J ~ B D O ~ O ,| | ~ | O O ? ^ D ? ? ? ? ? ~ ~ ? ? ? ? ? ? ? J ? B ? ? ? ? ? ? ? ? ,J ~ B ~ ^ D | O | O ~ | 
K^~R|E^D,[|[^K[~R]][^ED]],| ^ K ~ R ^ E D ,| ^ ^ K ~ E D ? ? R ? ? ? ? ? ,K R ~ ^ E D ^ | 
~N|U^~N|~I^~R,[|[|[~N][^U[~N]]][^[~I][~R]]],| | ~ N ^ U ~ N ^ ~ I ~ R ,| | ^ ~ ^ ~ ~ N ? U ~ I ? R ? ? ? ? ? ? N ? ? ? ? ? ? ? ,N ~ U N ~ ^ | I ~ R ~ ^ | 
~W-V^V,[-[~W][^VV]],- ~ W ^ V V ,- ~ ^ W ? V V ,W ~ V V ^ - 
~N|~Z|~N|~O-~M,[-[|[|[|[~N][~Z]][~N]][~O]][~M]],- | | | ~ N ~ Z ~ N ~ O ~ M ,- | ~ | ~ M ? | ~ O ? ? ? ? ~ ~ N ? ? ? ? ? ? ? N ? Z ? ? ? ? ? ? ? ? ? ? ,N ~ Z ~ | N ~ | O ~ | M ~ - 
R^~X|I,[|[^R[~X]]I],| ^ R ~ X I ,| ^ I R ~ ? ? ? ? X ? ? ? ,R X ~ ^ I | 
~B^~K|~R|A|X,[|[|[|[^[~B][~K]][~R]]A]X],| | | ^ ~ B ~ K ~ R A X ,| | X | A ? ? ^ ~ ? ? ? ? ~ ~ R ? ? ? ? ? B ? K ? ? ? ? ? ? ? ? ,B ~ K ~ ^ R ~ | A | X | 
~G|W|N,[|[|[~G]W]N],| | ~ G W N ,| | N ~ W ? ? G ? ? ? ? ? ,G ~ W | N | 
~A^Z-~W,[-[^[~A]Z][~W]],- ^ ~ A Z ~ W ,- ^ ~ ~ Z W ? A ? ? ? ? ? ? ,A ~ Z ^ W ~ - 
~E^X-L,[-[^[~E]X]L],- ^ ~ E X L ,- ^ L ~ X ? ? E ? ? ? ? ? ,E ~ X ^ L - 
Y-F|L,[-Y[|FL]],- Y | F L ,- Y | ? ? F L ,Y F L | - 
~P-U|~Y,[-[~P][|U[~Y]]],- ~ P | U ~ Y ,- ~ | P ? U ~ ? ? ? ? ? Y ? ,P ~ U Y ~ | - 
~D-~T^~Z,[-[~D][^[~T][~Z]]],- ~ D ^ ~ T ~ Z ,- ~ ^ D ? ~ ~ ? ? ? T ? Z ? ,D ~ T ~ Z ~ ^ - 
E^H^~V^H,[^[^[^EH][~V]]H],^ ^ ^ E H ~ V H ,^ ^ H ^ ~ ? ? E H V ? ? ? ,E H ^ V ~ ^ H ^ 
F-~P-K|K,[-F[-[~P][|KK]]],- F - ~ P | K K ,- F - ? ? ~ | ? ? P ? K K ,F P ~ K K | - - 
B-~L-~M-O,[-B[-[~L][-[~M]O]]],- B - ~ L - ~ M O ,- B - ? ? ~ - ? ? L ? ~ O ? ? ? ? ? M ? ? ? ,B L ~ M ~ O - - - 
~G^N|H^W-~D,[-[|[^[~G]N][^HW]][~D]],- | ^ ~ G N ^ H W ~ D ,- | ~ ^ ^ D ? ~ N H W ? ? ? G ? ? ? ? ? ? ? ? ? ? ,G ~ N ^ H W ^ | D ~ - 
~Q|E^I^W-B,[-[|[~Q][^[^EI]W]]B],- | ~ Q ^ ^ E I W B ,- | B ~ ^ ? ? Q ? ^ W ? ? ? ? ? E I ? ? ? ? ,Q ~ E I ^ W ^ | B - 
U|~V^Y,[|U[^[~V]Y]],| U ^ ~ V Y ,| U ^ ? ? ~ Y ? ? V ? ? ? ,U V ~ Y ^ | 
~G^Q-Q^~Y,[-[^[~G]Q][^Q[~Y]]],- ^ ~ G Q ^ Q ~ Y ,- ^ ^ ~ Q Q ~ G ? ? ? ? ? Y ? ,G ~ Q ^ Q Y ~ ^ - 
U-W-~R^~O,[-U[-W[^[~R][~O]]]],- U - W ^ ~ R ~ O ,- U - ? ? W ^ ? ? ? ? ~ ~ ? ? ? ? R ? O ? ,U W R ~ O ~ ^ - - 
~V-T-~J-~U,[-[~V][-T[-[~J][~U]]]],- ~ V - T - ~ J ~ U ,- ~ - V ? T - ? ? ? ? ? ~ ~ ? ? ? ? ? J ? U ? ,V ~ T J ~ U ~ - - - 
~I|~G|~Q|~M,[|[|[|[~I][~G]][~Q]][~M]],| | | ~ I ~ G ~ Q ~ M ,| | ~ | ~ M ? ~ ~ Q ? ? ? ? I ? G ? ? ? ? ? ? ? ,I ~ G ~ | Q ~ | M ~ | 
~J^~H-~O^~O^~X,[-[^[~J][~H]][^[^[~O][~O]][~X]]],- ^ ~ J ~ H ^ ^ ~ O ~ O ~ X ,- ^ ^ ~ ~ ^ ~ J ? H ? ~ ~ X ? ? ? ? ? ? ? O ? O ? ? ? ? ,J ~ H ~ ^ O ~ O ~ ^ X ~ ^ - 
Q|~P|M-V,[-[|[|Q[~P]]M]V],- | | Q ~ P M V ,- | V | M ? ? Q ~ ? ? ? ? ? ? P ? ? ? ? ? ,Q P ~ | M | V - 
B|P|W,[|[|BP]W],| | B P W ,| | W B P ? ? ,B P | W | 
H|S-T-~N-D,[-[|HS][-T[-[~N]D]]],- | H S - T - ~ N D ,- | - H S T - ? ? ? ? ? ? ~ D ? ? ? ? ? ? N ? ? ? ,H S | T N ~ D - - - 
A|T^~E^B^~H,[|A[^[^[^T[~E]]B][~H]]],| A ^ ^ ^ T ~ E B ~ H ,| A ^ ? ? ^ ~ ? ? ^ B H ? ? ? T ~ ? ? ? ? ? ? ? ? ? E ? ? ? ? ? ? ,A T E ~ ^ B ^ H ~ ^ | 
N|X^~U-S,[-[|N[^X[~U]]]S],- | N ^ X ~ U S ,- | S N ^ ? ? ? ? X ~ ? ? ? ? ? ? U ? ? ? ,N X U ~ ^ | S - 
C^~Z-~V-T,[-[^C[~Z]][-[~V]T]],- ^ C ~ Z - ~ V T ,- ^ - C ~ ~ T ? ? Z ? V ? ? ? ,C Z ~ ^ V ~ T - - 
~C^B|~H^~C^~Q,[|[^[~C]B][^[^[~H][~C]][~Q]]],| ^ ~ C B ^ ^ ~ H ~ C ~ Q ,| ^ ^ ~ B ^ ~ C ? ? ? ~ ~ Q ? ? ? ? ? ? H ? C ? ? ? ? ,C ~ B ^ H ~ C ~ ^ Q ~ ^ | 
~I^A-~Z|H|~H,[-[^[~I]A][|[|[~Z]H][~H]]],- ^ ~ I A | | ~ Z H ~ H ,- ^ | ~ A | ~ I ? ? ? ~ H H ? ? ? ? ? ? Z ? ? ? ? ? ? ,I ~ A ^ Z ~ H | H ~ | - 
F-N^~Y,[-F[^N[~Y]]],- F ^ N ~ Y ,- F ^ ? ? N ~ ? ? ? ? Y ? ,F N Y ~ ^ - 
U-O^F-C-W,[-U[-[^OF][-CW]]],- U - ^ O F - C W ,- U - ? ? ^ - ? ? O F C W ,U O F ^ C W - - - 
A-E-~D-~Q,[-A[-E[-[~D][~Q]]]],- A - E - ~ D ~ Q ,- A - ? ? E - ? ? ? ? ~ ~ ? ? ? ? D ? Q ? ,A E D ~ Q ~ - - - 
~K|T|I,[|[|[~K]T]I],| | ~ K T I ,| | I ~ T ? ? K ? ? ? ? ? ,K ~ T | I | 
O-L^~R,[-O[^L[~R]]],- O ^ L ~ R ,- O ^ ? ? L ~ ? ? ? ? R ? ,O L R ~ ^ - 
F-Q|~F|~H,[-F[|[|Q[~F]][~H]]],- F | | Q ~ F ~ H ,- F | ? ? | ~ ? ? Q ~ H ? ? ? ? ? F ? ? ? ? ,F Q F ~ | H ~ | - 
~A-~W-~Z|~U,[-[~A][-[~W][|[~Z][~U]]]],- ~ A - ~ W | ~ Z ~ U ,- ~ - A ? ~ | ? ? ? W ? ~ ~ ? ? ? ? ? ? Z ? U ? ,A ~ W ~ Z ~ U ~ | - - 
I|C|~V,[|[|IC][~V]],| | I C ~ V ,| | ~ I C V ? ,I C | V ~ | 
~O^Y-Z-A,[-[^[~O]Y][-ZA]],- ^ ~ O Y - Z A ,- ^ - ~ Y Z A O ? ? ? ? ? ? ? ,O ~ Y ^ Z A - - 
A|~G-~F|U,[-[|A[~G]][|[~F]U]],- | A ~ G | ~ F U ,- | | A ~ ~ U ? ? G ? F ? ? ? ,A G ~ | F ~ U | - 
X|~O-M-~M|Y,[-[|X[~O]][-M[|[~M]Y]]],- | X ~ O - M | ~ M Y ,- | - X ~ M | ? ? O ? ? ? ~ Y ? ? ? ? ? ? ? M ? ? ? ,X O ~ | M M ~ Y | - - 
~S|~Z|B,[|[|[~S][~Z]]B],| | ~ S ~ Z B ,| | B ~ ~ ? ? S ? Z ? ? ? ,S ~ Z ~ | B | 
I^~H^~W,[^[^I[~H]][~W]],^ ^ I ~ H ~ W ,^ ^ ~ I ~ W ? ? ? H ? ? ? ? ,I H ~ ^ W ~ ^ 
A|~N-R,[-[|A[~N]]R],- | A ~ N R ,- | R A ~ ? ? ? ? N ? ? ? ,A N ~ | R - 
P|S|S-F,[-[|[|PS]S]F],- | | P S S F ,- | F | S ? ? P S ? ? ? ? ,P S | S | F - 
~E-X-H^~U|~P,[-[~E][-X[|[^H[~U]][~P]]]],- ~ E - X | ^ H ~ U ~ P ,- ~ - E ? X | ? ? ? ? ? ^ ~ ? ? ? ? ? H ~ P ? ? ? ? ? ? ? ? U ? ? ? ? ,E ~ X H U ~ ^ P ~ | - - 
Z^~O-B^R,[-[^Z[~O]][^BR]],- ^ Z ~ O ^ B R ,- ^ ^ Z ~ B R ? ? O ? ? ? ? ? ,Z O ~ ^ B R ^ - 
~Q-~Q|~D,[-[~Q][|[~Q][~D]]],- ~ Q | ~ Q ~ D ,- ~ | Q ? ~ ~ ? ? ? Q ? D ? ,Q ~ Q ~ D ~ | - 
Q|B-W^~M-V,[-[|QB][-[^W[~M]]V]],- | Q B - ^ W ~ M V ,- | - Q B ^ V ? ? ? ? W ~ ? ? ? ? ? ? ? ? M ? ? ? ,Q B | W M ~ ^ V - - 
T-I-X^~Z,[-T[-I[^X[~Z]]]],- T - I ^ X ~ Z ,- T - ? ? I ^ ? ? ? ? X ~ ? ? ? ? ? ? Z ? ,T I X Z ~ ^ - - 
~L-~U|~U|A^~W,[-[~L][|[|[~U][~U]][^A[~W]]]],- ~ L | | ~ U ~ U ^ A ~ W ,- ~ | L ? | ^ ? ? ? ~ ~ A ~ ? ? ? U ? U ? ? ? W ? ,L ~ U ~ U ~ | A W ~ ^ | - 
P^Q-~N,[-[^PQ][~N]],- ^ P Q ~ N ,- ^ ~ P Q N ? ,P Q ^ N ~ - 
L-~R^~K,[-L[^[~R][~K]]],- L ^ ~ R ~ K ,- L ^ ? ? ~ ~ ? ? R ? K ? ,L R ~ K ~ ^ - 
H|S^~U|~M|I,[|[|[|H[^S[~U]]][~M]]I],| | | H ^ S ~ U ~ M I ,| | I | ~ ? ? H ^ M ? ? ? ? ? S ~ ? ? ? ? ? ? ? ? ? U ? ? ? ? ? ? ,H S U ~ ^ | M ~ | I | 
~J|C-I|F,[-[|[~J]C][|IF]],- | ~ J C | I F ,- | | ~ C I F J ? ? ? ? ? ? ? ,J ~ C | I F | - 
I|~D-U,[-[|I[~D]]U],- | I ~ D U ,- | U I ~ ? ? ? ? D ? ? ? ,I D ~ | U - 
B|Y-S^~C,[-[|BY][^S[~C]]],- | B Y ^ S ~ C ,- | ^ B Y S ~ ? ? ? ? ? ? C ? ,B Y | S C ~ ^ - 
~C-~K|L^U,[-[~C][|[~K][^LU]]],- ~ C | ~ K ^ L U ,- ~ | C ? ~ ^ ? ? ? K ? L U ,C ~ K ~ L U ^ | - 
A|R^~H,[|A[^R[~H]]],| A ^ R ~ H ,| A ^ ? ? R ~ ? ? ? ? H ? ,A R H ~ ^ | 
Q|M-C-A,[-[|QM][-CA]],- | Q M - C A ,- | - Q M C A ,Q M | C A - - 
~Z^~L-K-~D-~T,[-[^[~Z][~L]][-K[-[~D][~T]]]],- ^ ~ Z ~ L - K - ~ D ~ T ,- ^ - ~ ~ K - Z ? L ? ? ? ~ ~ ? ? ? ? ? ? ? ? D ? T ? ,Z ~ L ~ ^ K D ~ T ~ - - - 
~J^I^E^D-~U,[-[^[^[^[~J]I]E]D][~U]],- ^ ^ ^ ~ J I E D ~ U ,- ^ ~ ^ D U ? ^ E ? ? ? ? ? ~ I ? ? ? ? ? ? ? J ? ? ? ? ? ? ? ? ? ? ,J ~ I ^ E ^ D ^ U ~ - 
~T|~O-U|~Y,[-[|[~T][~O]][|U[~Y]]],- | ~ T ~ O | U ~ Y ,- | | ~ ~ U ~ T ? O ? ? ? Y ? ,T ~ O ~ | U Y ~ | - 
~S^~W|O^Z,[|[^[~S][~W]][^OZ]],| ^ ~ S ~ W ^ O Z ,| ^ ^ ~ ~ O Z S ? W ? ? ? ? ? ,S ~ W ~ ^ O Z ^ | 
~P^~J-~P-J,[-[^[~P][~J]][-[~P]J]],- ^ ~ P ~ J - ~ P J ,- ^ - ~ ~ ~ J P ? J ? P ? ? ? ,P ~ J ~ ^ P ~ J - - 
~J|~K|~H-~V,[-[|[|[~J][~K]][~H]][~V]],- | | ~ J ~ K ~ H ~ V ,- | ~ | ~ V ? ~ ~ H ? ? ? ? J ? K ? ? ? ? ? ? ? ,J ~ K ~ | H ~ | V ~ - 
~E|R|S-C-~V,[-[|[|[~E]R]S][-C[~V]]],- | | ~ E R S - C ~ V ,- | - | S C ~ ~ R ? ? ? ? V ? E ? ? ? ? ? ? ? ? ? ? ,E ~ R | S | C V ~ - - 
R-~Q^L,[-R[^[~Q]L]],- R ^ ~ Q L ,- R ^ ? ? ~ L ? ? Q ? ? ? ,R Q ~ L ^ - 
Y^E^T|~W|G,[|[|[^[^YE]T][~W]]G],| | ^ ^ Y E T ~ W G ,| | G ^ ~ ? ? ^ T W ? ? ? Y E ? ? ? ? ? ? ? ,Y E ^ T ^ W ~ | G | 
~O|B|Q,[|[|[~O]B]Q],| | ~ O B Q ,| | Q ~ B ? ? O ? ? ? ? ? ,O ~ B | Q | 
X^S^J,[^[^XS]J],^ ^ X S J ,^ ^ J X S ? ? ,X S ^ J ^ 
D-K-J,[-D[-KJ]],#NAME?,- D - ? ? K J ,D K J - - 
Z-~T^~O|Q|~C,[-Z[|[|[^[~T][~O]]Q][~C]]],- Z | | ^ ~ T ~ O Q ~ C ,- Z | ? ? | ~ ? ? ^ Q C ? ? ? ~ ~ ? ? ? ? ? ? ? T ? O ? ? ? ? ? ? ,Z T ~ O ~ ^ Q | C ~ | - 
~E|~P|B,[|[|[~E][~P]]B],| | ~ E ~ P B ,| | B ~ ~ ? ? E ? P ? ? ? ,E ~ P ~ | B | 
C^~U^~F-V^~K,[-[^[^C[~U]][~F]][^V[~K]]],- ^ ^ C ~ U ~ F ^ V ~ K ,- ^ ^ ^ ~ V ~ C ~ F ? ? ? K ? ? ? U ? ? ? ? ? ? ? ? ? ,C U ~ ^ F ~ ^ V K ~ ^ - 
C^~D^~V|J|~R,[|[|[^[^C[~D]][~V]]J][~R]],| | ^ ^ C ~ D ~ V J ~ R ,| | ~ ^ J R ? ^ ~ ? ? ? ? ? C ~ V ? ? ? ? ? ? ? ? D ? ? ? ? ? ? ? ? ? ,C D ~ ^ V ~ ^ J | R ~ | 
S-~O|E,[-S[|[~O]E]],- S | ~ O E ,- S | ? ? ~ E ? ? O ? ? ? ,S O ~ E | - 
O|~X^L,[|O[^[~X]L]],| O ^ ~ X L ,| O ^ ? ? ~ L ? ? X ? ? ? ,O X ~ L ^ | 
X|~Z-~U-N,[-[|X[~Z]][-[~U]N]],- | X ~ Z - ~ U N ,- | - X ~ ~ N ? ? Z ? U ? ? ? ,X Z ~ | U ~ N - - 
~N^G|~N-R^N,[-[|[^[~N]G][~N]][^RN]],- | ^ ~ N G ~ N ^ R N ,- | ^ ^ ~ R N ~ G N ? ? ? ? ? N ? ? ? ? ? ? ? ? ? ? ,N ~ G ^ N ~ | R N ^ - 
~N^~R^~O-P,[-[^[^[~N][~R]][~O]]P],- ^ ^ ~ N ~ R ~ O P ,- ^ P ^ ~ ? ? ~ ~ O ? ? ? N ? R ? ? ? ? ? ? ,N ~ R ~ ^ O ~ ^ P - 
~L^A|~U^W,[|[^[~L]A][^[~U]W]],| ^ ~ L A ^ ~ U W ,| ^ ^ ~ A ~ W L ? ? ? U ? ? ? ,L ~ A ^ U ~ W ^ | 
N-T^~E^H^~H,[-N[^[^[^T[~E]]H][~H]]],- N ^ ^ ^ T ~ E H ~ H ,- N ^ ? ? ^ ~ ? ? ^ H H ? ? ? T ~ ? ? ? ? ? ? ? ? ? E ? ? ? ? ? ? ,N T E ~ ^ H ^ H ~ ^ - 
~P|L-~I,[-[|[~P]L][~I]],- | ~ P L ~ I ,- | ~ ~ L I ? P ? ? ? ? ? ? ,P ~ L | I ~ - 
~A^W|~Q,[|[^[~A]W][~Q]],| ^ ~ A W ~ Q ,| ^ ~ ~ W Q ? A ? ? ? ? ? ? ,A ~ W ^ Q ~ | 
N-W^C^Q,[-N[^[^WC]Q]],- N ^ ^ W C Q ,- N ^ ? ? ^ Q ? ? W C ? ? ,N W C ^ Q ^ - 
~Q|W-~E,[-[|[~Q]W][~E]],- | ~ Q W ~ E ,- | ~ ~ W E ? Q ? ? ? ? ? ? ,Q ~ W | E ~ - 
~V^~J|~I|~O,[|[|[^[~V][~J]][~I]][~O]],| | ^ ~ V ~ J ~ I ~ O ,| | ~ ^ ~ O ? ~ ~ I ? ? ? ? V ? J ? ? ? ? ? ? ? ,V ~ J ~ ^ I ~ | O ~ | 
K^~X^C-Y-~K,[-[^[^K[~X]]C][-Y[~K]]],- ^ ^ K ~ X C - Y ~ K ,- ^ - ^ C Y ~ K ~ ? ? ? ? K ? ? ? X ? ? ? ? ? ? ? ? ,K X ~ ^ C ^ Y K ~ - - 
F|K-~S,[-[|FK][~S]],- | F K ~ S ,- | ~ F K S ? ,F K | S ~ - 
~J|T^H^~O,[|[~J][^[^TH][~O]]],| ~ J ^ ^ T H ~ O ,| ~ ^ J ? ^ ~ ? ? ? T H O ? ,J ~ T H ^ O ~ ^ | 
~S^S^~G-C,[-[^[^[~S]S][~G]]C],- ^ ^ ~ S S ~ G C ,- ^ C ^ ~ ? ? ~ S G ? ? ? S ? ? ? ? ? ? ? ? ,S ~ S ^ G ~ ^ C - 
~M|I|O-~I-~N,[-[|[|[~M]I]O][-[~I][~N]]],- | | ~ M I O - ~ I ~ N ,- | - | O ~ ~ ~ I ? ? I ? N ? M ? ? ? ? ? ? ? ? ? ? ? ,M ~ I | O | I ~ N ~ - - 
N|H-I|~C-Z,[-[|NH][-[|I[~C]]Z]],- | N H - | I ~ C Z ,- | - N H | Z ? ? ? ? I ~ ? ? ? ? ? ? ? ? C ? ? ? ,N H | I C ~ | Z - - 
L|~C-~L|Z,[-[|L[~C]][|[~L]Z]],- | L ~ C | ~ L Z ,- | | L ~ ~ Z ? ? C ? L ? ? ? ,L C ~ | L ~ Z | - 
O|T^I,[|O[^TI]],| O ^ T I ,| O ^ ? ? T I ,O T I ^ | 
~D|O|~K-K-~L,[-[|[|[~D]O][~K]][-K[~L]]],- | | ~ D O ~ K - K ~ L ,- | - | ~ K ~ ~ O K ? ? ? L ? D ? ? ? ? ? ? ? ? ? ? ? ,D ~ O | K ~ | K L ~ - - 
~Y|X|X,[|[|[~Y]X]X],| | ~ Y X X ,| | X ~ X ? ? Y ? ? ? ? ? ,Y ~ X | X | 
F-I^~W-~F-~U,[-F[-[^I[~W]][-[~F][~U]]]],- F - ^ I ~ W - ~ F ~ U ,- F - ? ? ^ - ? ? I ~ ~ ~ ? ? ? ? W ? F ? U ? ,F I W ~ ^ F ~ U ~ - - - 
M|~O|~X,[|[|M[~O]][~X]],| | M ~ O ~ X ,| | ~ M ~ X ? ? ? O ? ? ? ? ,M O ~ | X ~ | 
T|~D-A-~R,[-[|T[~D]][-A[~R]]],- | T ~ D - A ~ R ,- | - T ~ A ~ ? ? D ? ? ? R ? ,T D ~ | A R ~ - - 
~U|K^~R,[|[~U][^K[~R]]],| ~ U ^ K ~ R ,| ~ ^ U ? K ~ ? ? ? ? ? R ? ,U ~ K R ~ ^ | 
~K^~Y^~I|V,[|[^[^[~K][~Y]][~I]]V],| ^ ^ ~ K ~ Y ~ I V ,| ^ V ^ ~ ? ? ~ ~ I ? ? ? K ? Y ? ? ? ? ? ? ,K ~ Y ~ ^ I ~ ^ V | 
Z^F^~Y|~Z|S,[|[|[^[^ZF][~Y]][~Z]]S],| | ^ ^ Z F ~ Y ~ Z S ,| | S ^ ~ ? ? ^ ~ Z ? ? ? Z F Y ? ? ? ? ? ? ,Z F ^ Y ~ ^ Z ~ | S | 
~T-G|~C,[-[~T][|G[~C]]],- ~ T | G ~ C ,- ~ | T ? G ~ ? ? ? ? ? C ? ,T ~ G C ~ | - 
N-T^T,[-N[^TT]],#NAME?,- N ^ ? ? T T ,N T T ^ - 
~H|N^M-L,[-[|[~H][^NM]]L],- | ~ H ^ N M L ,- | L ~ ^ ? ? H ? N M ? ? ,H ~ N M ^ | L - 
L^W^~K,[^[^LW][~K]],^ ^ L W ~ K ,^ ^ ~ L W K ? ,L W ^ K ~ ^ 
~P|~R^W-N|~I,[-[|[~P][^[~R]W]][|N[~I]]],- | ~ P ^ ~ R W | N ~ I ,- | | ~ ^ N ~ P ? ~ W ? ? I ? ? ? ? R ? ? ? ? ? ? ? ? ,P ~ R ~ W ^ | N I ~ | - 
~M^~Y|~N,[|[^[~M][~Y]][~N]],| ^ ~ M ~ Y ~ N ,| ^ ~ ~ ~ N ? M ? Y ? ? ? ? ,M ~ Y ~ ^ N ~ | 
~Z|U^~V-Q|U,[-[|[~Z][^U[~V]]][|QU]],- | ~ Z ^ U ~ V | Q U ,- | | ~ ^ Q U Z ? U ~ ? ? ? ? ? ? ? ? ? V ? ? ? ? ? ,Z ~ U V ~ ^ | Q U | - 
~H^D|~G^~P|L,[|[|[^[~H]D][^[~G][~P]]]L],| | ^ ~ H D ^ ~ G ~ P L ,| | L ^ ^ ? ? ~ D ~ ~ ? ? H ? ? ? G ? P ? ? ? ,H ~ D ^ G ~ P ~ ^ | L | 
~D|~P^N,[|[~D][^[~P]N]],| ~ D ^ ~ P N ,| ~ ^ D ? ~ N ? ? ? P ? ? ? ,D ~ P ~ N ^ | 
~S^~V^A,[^[^[~S][~V]]A],^ ^ ~ S ~ V A ,^ ^ A ~ ~ ? ? S ? V ? ? ? ,S ~ V ~ ^ A ^ 
V-D|~A,[-V[|D[~A]]],- V | D ~ A ,- V | ? ? D ~ ? ? ? ? A ? ,V D A ~ | - 
M|~U-B^~M,[-[|M[~U]][^B[~M]]],- | M ~ U ^ B ~ M ,- | ^ M ~ B ~ ? ? U ? ? ? M ? ,M U ~ | B M ~ ^ - 
W^P-L,[-[^WP]L],- ^ W P L ,- ^ L W P ? ? ,W P ^ L - 
